Title,Speaker,Conference
The Work Moves Forward,President Gordon B. Hinckley,April 1999
Teach Them the Word of God with All Diligence,Elder L. Tom Perry,April 1999
"Greed, Selfishness, and Overindulgence",Elder Joe J. Christensen,April 1999
Preparing Our Families for the Temple,Carol B. Thomas,April 1999
The Hands of the Fathers,Elder Jeffrey R. Holland,April 1999
This Is Our Day,President James E. Faust,April 1999
The Sustaining of Church Officers,President Thomas S. Monson,April 1999
The Church Audit Committee Report,sented by Ted E. Davis,April 1999
"Statistical Report, 1998",sented by F. Michael Watson,April 1999
“Repent of [Our] Selfishness” (D&amp;C 56:8),Elder Neal A. Maxwell,April 1999
Receive the Temple Blessings,Elder Richard G. Scott,April 1999
“Out of Small Things”,Elder Stephen A. West,April 1999
True Followers,Elder Robert J. Whetten,April 1999
Strengthening Families: Our Sacred Duty,Elder Robert D. Hales,April 1999
The Witness: Martin Harris,Elder Dallin H. Oaks,April 1999
Our Sacred Duty to Honor Women,Elder Russell M. Nelson,April 1999
“Made Like unto the Son of God”,Elder Ray H. Wood,April 1999
Fellowshipping,Elder Ned B. Roueché,April 1999
Priesthood and the Home,Elder D. Lee Tobler,April 1999
Obedience: The Path to Freedom,President James E. Faust,April 1999
The Priesthood—Mighty Army of the Lord,President Thomas S. Monson,April 1999
The Shepherds of the Flock,President Gordon B. Hinckley,April 1999
"For I Was Blind, but Now I See",President Thomas S. Monson,April 1999
The Bishop and His Counselors,President Boyd K. Packer,April 1999
Friendship: A Gospel Principle,Elder Marlin K. Jensen,April 1999
Our Only Chance,Sheri L. Dew,April 1999
Love and Service,Elder David B. Haight,April 1999
"“He Is Not Here, but Is Risen”",President Gordon B. Hinckley,April 1999
The Power of Teaching Doctrine,Elder Henry B. Eyring,April 1999
Inspired Church Welfare,Elder Joseph B. Wirthlin,April 1999
Welcome Home,Bishop Keith B. McMullin,April 1999
Your Name Is Safe in Our Home,Elder Cree-L Kofford,April 1999
Bridges and Eternal Keepsakes,Elder Dennis B. Neuenschwander,April 1999
Like a Flame Unquenchable,Elder M. Russell Ballard,April 1999
Thanks to the Lord for His Blessings,President Gordon B. Hinckley,April 1999
Your Light in the Wilderness,Sharon G. Larsen,April 1999
Spiritual Power of Our Baptism,Carol B. Thomas,April 1999
Follow the Light,Margaret D. Nadauld,April 1999
Your Celestial Journey,President Thomas S. Monson,April 1999
"Find the Lambs, Feed the Sheep",President Gordon B. Hinckley,April 1999
Welcome to Conference,President Gordon B. Hinckley,October 1999
Lessons from Laman and Lemuel,Elder Neal A. Maxwell,October 1999
“Feed My Sheep”,Elder Ben B. Banks,October 1999
Agency—A Blessing and a Burden,Sharon G. Larsen,October 1999
One Link Still Holds,Elder Vaughn J. Featherstone,October 1999
Prophets and Spiritual Mole Crickets,Elder Neil L. Andersen,October 1999
Becoming Our Best Selves,President Thomas S. Monson,October 1999
The Sustaining of Church Officers,President James E. Faust,October 1999
The Spirit of Revelation,President Boyd K. Packer,October 1999
“For This Cause Came I into the World”,Elder Alexander B. Morrison,October 1999
Serving the Lord,Elder Adhemar Damiani,October 1999
Our Legacy,Elder Stephen B. Oveson,October 1999
Spiritual Hurricanes,Elder David R. Stone,October 1999
Do Not Delay,Elder Henry B. Eyring,October 1999
“An High Priest of Good Things to Come”,y Elder Jeffrey R. Holland,October 1999
Growing into the Priesthood,Elder Joseph B. Wirthlin,October 1999
“Behold the Man”,Bishop Richard C. Edgley,October 1999
The Faith of a Sparrow: Faith and Trust in the Lord Jesus Christ,Elder H. Bruce Stucki,October 1999
Of Seeds and Soils,President James E. Faust,October 1999
Priesthood Power,President Thomas S. Monson,October 1999
Why We Do Some of the Things We Do,President Gordon B. Hinckley,October 1999
"Hope, an Anchor of the Soul",President James E. Faust,October 1999
Beware of False Prophets and False Teachers,Elder M. Russell Ballard,October 1999
Our Destiny,Elder L. Aldin Porter,October 1999
"Peace, Hope, and Direction",Patricia P. Pinegar,October 1999
A Testimony of the Book of Mormon,Elder Russell M. Nelson,October 1999
At the Summit of the Ages,President Gordon B. Hinckley,October 1999
A Year of Jubilee,Elder L. Tom Perry,October 1999
Gospel Teaching,Elder Dallin H. Oaks,October 1999
“No Man Is an Island”,Elder Richard H. Winkel,October 1999
“The Tongue of Angels”,Elder Robert S. Wood,October 1999
Righteousness,Elder William R. Bradford,October 1999
He Lives,Elder Richard G. Scott,October 1999
Good-bye to This Wonderful Old Tabernacle,President Gordon B. Hinckley,October 1999
"Rejoice, Daughters of Zion",Mary Ellen Smoot,October 1999
"Home, Family, and Personal Enrichment",Virginia U. Jensen,October 1999
We Are Women of God,Sheri L. Dew,October 1999
What It Means to Be a Daughter of God,President James E. Faust,October 1999
To All the World in Testimony,President Gordon B. Hinckley,April 2000
The Cloven Tongues of Fire,President Boyd K. Packer,April 2000
Future Leaders,Elder Harold G. Hillam,April 2000
Living Happily Ever After,Coleen K. Menlove,April 2000
Resurrection,Elder Dallin H. Oaks,April 2000
The Shield of Faith,President James E. Faust,April 2000
The Sustaining of Church Officers,President Thomas S. Monson,April 2000
The Church Audit Committee Report,sented by Ted E. Davis,April 2000
"Statistical Report, 1999",sented by F. Michael Watson,April 2000
“Thou Shalt Give Heed unto All His Words”,Elder L. Tom Perry,April 2000
A Temple for West Africa,Elder Glenn L. Pace,April 2000
Keep an Eternal Perspective,Elder Jay E. Jensen,April 2000
“Are You Still Here?”,Elder Gary J. Coleman,April 2000
“How Is It with Us?”,Elder M. Russell Ballard,April 2000
"Faith, Devotion, and Gratitude",Elder David B. Haight,April 2000
The Sanctity of Womanhood,Elder Richard G. Scott,April 2000
Honoring the Priesthood,Bishop H. David Burton,April 2000
Your Own Personal Testimony,Elder Angel Abrea,April 2000
The Power of Self-Mastery,President James E. Faust,April 2000
Your Eternal Voyage,President Thomas S. Monson,April 2000
The Stake President,President Gordon B. Hinckley,April 2000
Your Eternal Home,President Thomas S. Monson,April 2000
Finding a Safe Harbor,Elder Joseph B. Wirthlin,April 2000
The Widows of Zion,Elder Earl C. Tingey,April 2000
We Are Creators,Mary Ellen Smoot,April 2000
Watch Over and Strengthen,Elder Henry B. Eyring,April 2000
My Testimony,President Gordon B. Hinckley,April 2000
Content with the Things Allotted unto Us,Elder Neal A. Maxwell,April 2000
As Doves to Our Windows,Elder Jeffrey R. Holland,April 2000
Heavenly Father Has a Special Plan,Elder Yoshihiko Kikuchi,April 2000
“Because My Father Sent Me”,Elder Loren C. Dunn,April 2000
A Brief Introduction to the Church,Elder John B. Dickson,April 2000
The Creation,Elder Russell M. Nelson,April 2000
A Time of New Beginnings,President Gordon B. Hinckley,April 2000
Standing with God,Sharon G. Larsen,April 2000
Integrity,Carol B. Thomas,April 2000
Stand as a Witness,Margaret D. Nadauld,April 2000
Womanhood: The Highest Place of Honor,President James E. Faust,April 2000
A Great Family in Reverence and Worship,President Gordon B. Hinckley,October 2000
The Covenant of Baptism: To Be in the Kingdom and of the Kingdom,Elder Robert D. Hales,October 2000
The Redemption of the Dead and the Testimony of Jesus,Elder D. Todd Christofferson,October 2000
“Come and See”,Elder Alexander B. Morrison,October 2000
Testimony,Elder Loren C. Dunn,October 2000
The Joy of Womanhood,Margaret D. Nadauld,October 2000
Living by Scriptural Guidance,Elder Russell M. Nelson,October 2000
Be a Strong Link,Elder David B. Haight,October 2000
The Sustaining of Church Officers,President James E. Faust,October 2000
Pure Testimony,Elder Joseph B. Wirthlin,October 2000
The Path to Peace and Joy,Elder Richard G. Scott,October 2000
Cultivate Righteous Traditions,Elder Donald L. Hallstrom,October 2000
One by One,Elder Ronald A. Rasband,October 2000
Seeking the Spirit of God,Elder Douglas L. Callister,October 2000
The Challenge to Become,Elder Dallin H. Oaks,October 2000
The Tugs and Pulls of the World,Elder Neal A. Maxwell,October 2000
“Sanctify Yourselves”,Elder Jeffrey R. Holland,October 2000
"Living Prophets, Seers, and Revelators",Elder Dennis B. Neuenschwander,October 2000
Satan’s Bag of Snipes,Bishop Richard C. Edgley,October 2000
The Enemy Within,President James E. Faust,October 2000
The Call to Serve,President Thomas S. Monson,October 2000
“Great Shall Be the Peace of Thy Children”,President Gordon B. Hinckley,October 2000
A Growing Testimony,President James E. Faust,October 2000
Discipleship,Elder L. Tom Perry,October 2000
"“Lead, Kindly Light”",Virginia U. Jensen,October 2000
Dedication Day,President Thomas S. Monson,October 2000
This Great Millennial Year,President Gordon B. Hinckley,October 2000
“Ye Are the Temple of God”,President Boyd K. Packer,October 2000
Now Is the Time,Elder M. Russell Ballard,October 2000
Retaining a Remission of Sin,Elder Keith Crockett,October 2000
The Blessing of Keeping the Sabbath Day Holy,Elder H. Aldridge Gillespie,October 2000
Sharing the Gospel,Elder Robert C. Oaks,October 2000
Freedom “from” or Freedom “to”,Elder F. Enzio Busche,October 2000
“Write upon My Heart”,Elder Henry B. Eyring,October 2000
“An Humble and a Contrite Heart”,President Gordon B. Hinckley,October 2000
We Are Instruments in the Hands of God,Mary Ellen Smoot,October 2000
Ripples,Virginia U. Jensen,October 2000
Stand Tall and Stand Together,Sheri L. Dew,October 2000
"Your Greatest Challenge, Mother",President Gordon B. Hinckley,October 2000
The Work Goes On,President Gordon B. Hinckley,April 2001
First Things First,Elder Richard G. Scott,April 2001
“To Walk Humbly with Thy God”,Elder Marlin K. Jensen,April 2001
A God of Miracles,Sydney S. Reynolds,April 2001
“Witnesses unto Me”,Elder Jeffrey R. Holland,April 2001
Compassion,President Thomas S. Monson,April 2001
The Sustaining of Church Officers,President Thomas S. Monson,April 2001
Church Auditing Department Report,sented by Wesley L. Jones,April 2001
"Statistical Report, 2000",sented by F. Michael Watson,April 2001
“The Touch of the Master’s Hand”,President Boyd K. Packer,April 2001
Couple Missionaries: A Time to Serve,Elder Robert D. Hales,April 2001
"David, a Future Missionary",Elder Darwin B. Christenson,April 2001
“To Bear Testimony of Mine Only Begotten”,Elder L. Aldin Porter,April 2001
Personal Preparation for Temple Blessings,Elder Russell M. Nelson,April 2001
Building a Community of Saints,Elder L. Tom Perry,April 2001
“Watch with Me”,Elder Henry B. Eyring,April 2001
You Can’t Pet a Rattlesnake,Elder David E. Sorensen,April 2001
Priesthood Power,Elder John H. Groberg,April 2001
“Them That Honour Me I Will Honour”,President James E. Faust,April 2001
To the Rescue,President Thomas S. Monson,April 2001
The Perpetual Education Fund,President Gordon B. Hinckley,April 2001
Born Again,President James E. Faust,April 2001
“Plow in Hope”,Elder Neal A. Maxwell,April 2001
An Invitation with Promise,Bishop Keith B. McMullin,April 2001
Sacrifice: An Eternal Investment,Carol B. Thomas,April 2001
“His Word Ye Shall Receive”,Elder M. Russell Ballard,April 2001
The Miracle of Faith,President Gordon B. Hinckley,April 2001
Gratitude and Service,Elder David B. Haight,April 2001
The Law of the Fast,Elder Joseph B. Wirthlin,April 2001
United in Love and Testimony,Elder John K. Carmack,April 2001
Enhancing Our Temple Experience,Elder L. Lionel Kendrick,April 2001
Building the Kingdom,Elder Bruce D. Porter,April 2001
Focus and Priorities,Elder Dallin H. Oaks,April 2001
Good-bye for Another Season,President Gordon B. Hinckley,April 2001
Your Celestial Guide,Sharon G. Larsen,April 2001
Developing Our Talent for Spirituality,Carol B. Thomas,April 2001
"A Comforter, a Guide, a Testifier",Margaret D. Nadauld,April 2001
How Can I Become the Woman of Whom I Dream?,President Gordon B. Hinckley,April 2001
Living in the Fulness of Times,President Gordon B. Hinckley,October 2001
Sharing the Gospel,Elder Dallin H. Oaks,October 2001
Building a Bridge of Faith,Elder Charles Didier,October 2001
It Is Not Good for Man or Woman to Be Alone,Sheri L. Dew,October 2001
Prayer,Elder Henry B. Eyring,October 2001
The Atonement: Our Greatest Hope,President James E. Faust,October 2001
The Sustaining of Church Officers,President James E. Faust,October 2001
Faith of Our Prophets,Elder David B. Haight,October 2001
One Step after Another,Elder Joseph B. Wirthlin,October 2001
“Help Thou Mine Unbelief”,Elder L. Whitney Clayton,October 2001
Our Father’s Plan,Elder Christoffel Golden Jr.,October 2001
Writing Gospel Principles in Our Hearts,Elder Walter F. González,October 2001
“Like a Watered Garden”,Elder Jeffrey R. Holland,October 2001
Doctrine of Inclusion,Elder M. Russell Ballard,October 2001
Fulfilling Our Duty to God,Elder Robert D. Hales,October 2001
Our Duty to God,Elder Cecil O. Samuelson Jr.,October 2001
Gratitude,Elder Steven E. Snow,October 2001
Create or Continue Priesthood Links,Elder Keith K. Hilbig,October 2001
“Some Great Thing”,President James E. Faust,October 2001
Duty Calls,President Thomas S. Monson,October 2001
Reaching Down to Lift Another,President Gordon B. Hinckley,October 2001
Now Is the Time,President Thomas S. Monson,October 2001
The Book of Mormon: Another Testament of Jesus Christ,President Boyd K. Packer,October 2001
Standing Tall,Bishop H. David Burton,October 2001
“Fear Not: For They That Be with Us Are More”,Sharon G. Larsen,October 2001
“Set in Order Thy House”,Elder Russell M. Nelson,October 2001
The Times in Which We Live,President Gordon B. Hinckley,October 2001
The Returned Missionary,Elder L. Tom Perry,October 2001
The Seventh Commandment: A Shield,Elder Neal A. Maxwell,October 2001
“The First and Great Commandment”,Elder Robert F. Orton,October 2001
Our Actions Determine Our Character,Elder Wayne S. Peterson,October 2001
Beware of Murmuring,Elder H. Ross Workman,October 2001
The Power of a Strong Testimony,Elder Richard G. Scott,October 2001
“Till We Meet Again”,President Gordon B. Hinckley,October 2001
Steadfast and Immovable,Mary Ellen W. Smoot,October 2001
Stand Firm,Virginia U. Jensen,October 2001
Are We Not All Mothers?,Sheri L. Dew,October 2001
“Be Thou an Example”,President Thomas S. Monson,October 2001
The Church Goes Forward,President Gordon B. Hinckley,April 2002
Children,President Boyd K. Packer,April 2002
The Law of Tithing,Elder Earl C. Tingey,April 2002
Developing Inner Strength,Mary Ellen W. Smoot,April 2002
“Follow Me”,Elder Joseph B. Wirthlin,April 2002
Hidden Wedges,President Thomas S. Monson,April 2002
The Sustaining of Church Officers,sented by President Thomas S. Monson,April 2002
Church Auditing Department Report,sented by Wesley L. Jones,April 2002
"Statistical Report, 2001",sented by F. Michael Watson,April 2002
Full Conversion Brings Happiness,Elder Richard G. Scott,April 2002
True Friends,Elder Henry B. Eyring,April 2002
Faith Obedience,Elder R. Conrad Schultz,April 2002
Being Teachable,Elder Robert R. Steuer,April 2002
The Gospel in Our Lives,Elder Dallin H. Oaks,April 2002
Consecrate Thy Performance,Elder Neal A. Maxwell,April 2002
Becoming Men in Whom the Spirit of God Is,Elder L. Tom Perry,April 2002
This Road We Call Life,Elder Ben B. Banks,April 2002
Becoming a Great Benefit to Our Fellow Beings,Elder Spencer J. Condie,April 2002
It Can’t Happen to Me,President James E. Faust,April 2002
They Pray and They Go,President Thomas S. Monson,April 2002
Personal Worthiness to Exercise the Priesthood,President Gordon B. Hinckley,April 2002
The Lifeline of Prayer,President James E. Faust,April 2002
The Other Prodigal,Elder Jeffrey R. Holland,April 2002
For Thy Good,Bishop Richard C. Edgley,April 2002
The Language of Love,Gayle M. Clegg,April 2002
Out of Darkness into His Marvelous Light,Elder Robert D. Hales,April 2002
We Walk by Faith,President Gordon B. Hinckley,April 2002
How Firm Our Foundation,Elder Russell M. Nelson,April 2002
Eternal Life through Jesus Christ,Elder John M. Madsen,April 2002
Some Basic Teachings from the History of Joseph Smith,Elder Carlos H. Amado,April 2002
Charity: Perfect and Everlasting Love,Elder Gene R. Cook,April 2002
Feel the Love of the Lord,Bonnie D. Parkin,April 2002
The Opportunity to Serve,Elder Gerald N. Lund,April 2002
I’ll Go Where You Want Me to Go,Elder William R. Walker,April 2002
The Peaceable Things of the Kingdom,Elder M. Russell Ballard,April 2002
We Look to Christ,President Gordon B. Hinckley,April 2002
Standing in Holy Places,Sharon G. Larsen,April 2002
Strengthen Home and Family,Carol B. Thomas,April 2002
Hold High the Torch,Margaret D. Nadauld,April 2002
Pathways to Perfection,President Thomas S. Monson,April 2002
"“O That I Were an Angel, and Could Have the Wish of Mine Heart”",President Gordon B. Hinckley,October 2002
Called of God,Elder L. Tom Perry,October 2002
The Global Church Blessed by the Voice of the Prophets,Elder Dieter F. Uchtdorf,October 2002
A Voice of Gladness for Our Children,Coleen K. Menlove,October 2002
Encircled in the Arms of His Love,Elder Neal A. Maxwell,October 2002
What’s in It for Me?,President James E. Faust,October 2002
The Sustaining of Church Officers,sented by President Thomas S. Monson,October 2002
Were There Not Ten Cleansed?,Elder David B. Haight,October 2002
Tithing: A Test of Faith with Eternal Blessings,Elder Robert D. Hales,October 2002
But If Not,Elder Lance B. Wickman,October 2002
Sacrifice Brings Forth the Blessings of Heaven,Elder Robert K. Dellenbach,October 2002
Called to Serve,Elder Jeffrey R. Holland,October 2002
“Blessed Are the Peacemakers”,Elder Russell M. Nelson,October 2002
The Stake Patriarch,President Boyd K. Packer,October 2002
The Greatest Generation of Missionaries,Elder M. Russell Ballard,October 2002
"I Believe I Can, I Knew I Could",President James E. Faust,October 2002
"Peace, Be Still",President Thomas S. Monson,October 2002
To Men of the Priesthood,President Gordon B. Hinckley,October 2002
Models to Follow,President Thomas S. Monson,October 2002
I’ll Go Where You Want Me to Go,Elder Dallin H. Oaks,October 2002
That They May Be One in Us,Elder D. Todd Christofferson,October 2002
A Woman of Faith,Margaret D. Nadauld,October 2002
Rise to Your Call,Elder Henry B. Eyring,October 2002
The Marvelous Foundation of Our Faith,President Gordon B. Hinckley,October 2002
Shall He Find Faith on the Earth?,Elder Joseph B. Wirthlin,October 2002
To Be Free of Heavy Burdens,Elder Richard G. Scott,October 2002
Yielding to the Enticings of the Holy Spirit,Elder Kenneth Johnson,October 2002
Fun and Happiness,Elder Claudio R. M. Costa,October 2002
Come to Zion! Come to Zion!,Bishop Keith B. McMullin,October 2002
"Dad, Are You Awake?",Elder F. Melvin Hammond,October 2002
Each a Better Person,President Gordon B. Hinckley,October 2002
With Holiness of Heart,Bonnie D. Parkin,October 2002
Blessing Our Families through Our Covenants,Kathleen H. Hughes,October 2002
"Charity: One Family, One Home at a Time",Anne C. Pingree,October 2002
You Are All Heaven Sent,President James E. Faust,October 2002
The Condition of the Church,President Gordon B. Hinckley,April 2003
Sweet Power of Prayer,Elder Russell M. Nelson,April 2003
Forgiveness Will Change Bitterness to Love,Elder David E. Sorensen,April 2003
Blessed by Living Water,Kathleen H. Hughes,April 2003
Faith through Tribulation Brings Peace and Joy,Elder Robert D. Hales,April 2003
In Search of Treasure,President Thomas S. Monson,April 2003
The Sustaining of Church Officers,President James E. Faust,April 2003
Church Auditing Department Report,sented by Wesley L. Jones,April 2003
"Statistical Report, 2002",sented by F. Michael Watson,April 2003
The Unspeakable Gift,Elder Joseph B. Wirthlin,April 2003
A Child and a Disciple,Elder Henry B. Eyring,April 2003
"Seek, and Ye Shall Find",Elder Craig C. Christensen,April 2003
Words to Live By,Elder James M. Dunn,April 2003
The Essential Role of Member Missionary Work,Elder M. Russell Ballard,April 2003
The Importance of the Family,Elder L. Tom Perry,April 2003
Growing into the Priesthood,Elder David B. Haight,April 2003
Preparing for Missionary Service,Elder Daryl H. Garn,April 2003
And That’s the Way It Is,Bishop H. David Burton,April 2003
The Devil’s Throat,President James E. Faust,April 2003
Stand in Your Appointed Place,President Thomas S. Monson,April 2003
Loyalty,President Gordon B. Hinckley,April 2003
Dear Are the Sheep That Have Wandered,President James E. Faust,April 2003
Care for the Life of the Soul,Elder Neal A. Maxwell,April 2003
"Holy Place, Sacred Space",Elder Dennis B. Neuenschwander,April 2003
Did I Tell You … ?,Susan W. Tanner,April 2003
The Sustaining Power of Faith in Times of Uncertainty and Testing,Elder Richard G. Scott,April 2003
War and Peace,President Gordon B. Hinckley,April 2003
The Golden Years,President Boyd K. Packer,April 2003
A Prayer for the Children,Elder Jeffrey R. Holland,April 2003
Overcoming the Stench of Sin,Elder Spencer V. Jones,April 2003
Follow the Instructions,Elder D. Rex Gerratt,April 2003
Eternal Marriage,Elder F. Burton Howard,April 2003
Give Thanks in All Things,Elder Dallin H. Oaks,April 2003
Benediction,President Gordon B. Hinckley,April 2003
Steadfast in Our Covenants,Susan W. Tanner,April 2003
There Is Hope Smiling Brightly before Us,Julie B. Beck,April 2003
Press Forward and Be Steadfast,Elaine S. Dalton,April 2003
The Virtues of Righteous Daughters of God,President James E. Faust,April 2003
The Light of His Love,Gayle M. Clegg,April 2003
"I Can Pray to Heavenly Father Anytime, Anywhere",Sydney S. Reynolds,April 2003
Show You Know,Coleen K. Menlove,April 2003
You Are a Child of God,President Gordon B. Hinckley,April 2003
The State of the Church,President Gordon B. Hinckley,October 2003
A Sure Foundation,Elder Sheldon F. Child,October 2003
"The Atonement, Repentance, and Dirty Linen",Elder Lynn A. Mickelsen,October 2003
Seeing the Promises Afar Off,Anne C. Pingree,October 2003
Let Our Voices Be Heard,Elder M. Russell Ballard,October 2003
"Lord, I Believe; Help Thou Mine Unbelief",President James E. Faust,October 2003
The Sustaining of Church Officers,President James E. Faust,October 2003
“The Standard of Truth Has Been Erected”,President Boyd K. Packer,October 2003
Receiving a Testimony of the Restored Gospel of Jesus Christ,Elder Robert D. Hales,October 2003
The Clarion Call of Prophets,Elder Shirley D. Christensen,October 2003
The Lord Thy God Will Hold Thy Hand,Elder W. Craig Zwick,October 2003
Repentance and Change,Elder Dallin H. Oaks,October 2003
Realize Your Full Potential,Elder Richard G. Scott,October 2003
Personal Priesthood Responsibility,Elder Russell M. Nelson,October 2003
Young Men—Holders of Keys,Elder Monte J. Brough,October 2003
"Priesthood, Keys, and the Power to Bless",Elder Merrill J. Bateman,October 2003
The Phenomenon That Is You,President James E. Faust,October 2003
Bring Him Home,President Thomas S. Monson,October 2003
The Shepherds of Israel,President Gordon B. Hinckley,October 2003
The Bridge Builder,President Thomas S. Monson,October 2003
The Grandeur of God,Elder Jeffrey R. Holland,October 2003
The Message of the Restoration,Elder Charles Didier,October 2003
He Knows Us; He Loves Us,Sydney S. Reynolds,October 2003
Three Choices,Elder Joseph B. Wirthlin,October 2003
"An Ensign to the Nations, a Light to the World",President Gordon B. Hinckley,October 2003
We Believe All That God Has Revealed,Elder L. Tom Perry,October 2003
An Enduring Testimony of the Mission of the Prophet Joseph,Elder Henry B. Eyring,October 2003
"“Come, Follow Me”",Elder William W. Parmley,October 2003
Are You a Saint?,Elder Quentin L. Cook,October 2003
The Empowerment of Humility,Bishop Richard C. Edgley,October 2003
How Choice a Seer!,Elder Neal A. Maxwell,October 2003
Let Us Live the Gospel More Fully,President Gordon B. Hinckley,October 2003
Choosing Charity: That Good Part,Bonnie D. Parkin,October 2003
In Covenant with Him,Kathleen H. Hughes,October 2003
Choose Ye Therefore Christ the Lord,Anne C. Pingree,October 2003
To the Women of the Church,President Gordon B. Hinckley,October 2003
The Church Grows Stronger,President Gordon B. Hinckley,April 2004
How Great the Wisdom and the Love,Elder David B. Haight,April 2004
Preparation for the Second Coming,Elder Dallin H. Oaks,April 2004
When Thou Art Converted,Elder D. Todd Christofferson,April 2004
The Finished Story,Gayle M. Clegg,April 2004
In the Strength of the Lord,Elder Henry B. Eyring,April 2004
Your Personal Influence,President Thomas S. Monson,April 2004
The Sustaining of Church Officers,President Thomas S. Monson,April 2004
"Church Auditing Department Report, 2003",sented by Wesley L. Jones,April 2004
"Statistical Report, 2003",sented by F. Michael Watson,April 2004
Roots and Branches,Elder Russell M. Nelson,April 2004
“Abide in Me”,Elder Jeffrey R. Holland,April 2004
"Jesus, the Very Thought of Thee",Bishop Keith B. McMullin,April 2004
The Words of Christ—Our Spiritual Liahona,Elder W. Rolfe Kerr,April 2004
Applying the Simple and Plain Gospel Principles in the Family,Elder Francisco J. Viñas,April 2004
"Earthly Debts, Heavenly Debts",Elder Joseph B. Wirthlin,April 2004
Remember How Merciful the Lord Hath Been,Elder Neal A. Maxwell,April 2004
Strengthen Thy Brethren,Elder Mervyn B. Arnold,April 2004
For the Strength of Youth,Elder Earl C. Tingey,April 2004
Choices,President James E. Faust,April 2004
The Call for Courage,President Thomas S. Monson,April 2004
"“I Was an Hungred, and Ye Gave Me Meat”",President Gordon B. Hinckley,April 2004
Did You Get the Right Message?,President James E. Faust,April 2004
"Fatherhood, an Eternal Calling",Elder L. Tom Perry,April 2004
But If Not …,Elder Dennis E. Simmons,April 2004
A “Mother Heart”,Julie B. Beck,April 2004
Do Not Fear,President Boyd K. Packer,April 2004
The Dawning of a Brighter Day,President Gordon B. Hinckley,April 2004
The Atonement and the Value of One Soul,Elder M. Russell Ballard,April 2004
With All the Feeling of a Tender Parent: A Message of Hope to Families,Elder Robert D. Hales,April 2004
Standing Spotless before the Lord,Elder Clate W. Mask Jr.,April 2004
Marriage and Family: Our Sacred Responsibility,Elder W. Douglas Shumway,April 2004
The Atonement: All for All,Elder Bruce C. Hafen,April 2004
How to Live Well amid Increasing Evil,Elder Richard G. Scott,April 2004
Concluding Remarks,President Gordon B. Hinckley,April 2004
All Things Shall Work Together for Your Good,Susan W. Tanner,April 2004
My Soul Delighteth in the Scriptures,Julie B. Beck,April 2004
Believe!,Elaine S. Dalton,April 2004
Stay on the High Road,President Gordon B. Hinckley,April 2004
Condition of the Church,President Gordon B. Hinckley,October 2004
"Prophets, Seers, and Revelators",Elder Jeffrey R. Holland,October 2004
The Power of God’s Love,Elder John H. Groberg,October 2004
Bringing Peace and Healing to Your Soul,Elder Dale E. Miller,October 2004
Peace of Conscience and Peace of Mind,Elder Richard G. Scott,October 2004
Where Do I Make My Stand?,President James E. Faust,October 2004
The Sustaining of Church Officers,President Thomas S. Monson,October 2004
What Is a Quorum?,Elder L. Tom Perry,October 2004
Faith and Keys,Elder Henry B. Eyring,October 2004
“Feed My Sheep”,Elder Ned B. Roueché,October 2004
"“I Stand at the Door, and Knock”",Elder Ronald T. Halverson,October 2004
How Has Relief Society Blessed Your Life?,Bonnie D. Parkin,October 2004
Securing Our Testimonies,Elder Donald L. Staheli,October 2004
Pure Testimony,Elder M. Russell Ballard,October 2004
Be Not Deceived,Elder Dallin H. Oaks,October 2004
The Blessings of a Proper Fast,Elder Carl B. Pratt,October 2004
Perilous Times,Elder Cecil O. Samuelson Jr.,October 2004
The Key of the Knowledge of God,President James E. Faust,October 2004
Anxiously Engaged,President Thomas S. Monson,October 2004
A Tragic Evil among Us,President Gordon B. Hinckley,October 2004
Choose You This Day,President Thomas S. Monson,October 2004
Finding Faith in the Lord Jesus Christ,Elder Robert D. Hales,October 2004
The Opportunity to Testify,Elder Dieter F. Uchtdorf,October 2004
In the Strength of the Lord,Elder David A. Bednar,October 2004
Senior Missionaries and the Gospel,Elder Russell M. Nelson,October 2004
The Women in Our Lives,y President Gordon B. Hinckley,October 2004
The Least of These,President Boyd K. Packer,October 2004
We Did This for You,Elaine S. Dalton,October 2004
Keeping Our Covenants,Elder Richard J. Maynes,October 2004
Remember the Teachings of Your Father,Elder H. Bryan Richards,October 2004
More Holiness Give Me,Bishop H. David Burton,October 2004
Press On,Elder Joseph B. Wirthlin,October 2004
Closing Remarks,President Gordon B. Hinckley,October 2004
Belonging Is Our Sacred Birthright,Bonnie D. Parkin,October 2004
Out of Small Things,Kathleen H. Hughes,October 2004
Walking towards the Light of His Love,Anne C. Pingree,October 2004
If Ye Are Prepared Ye Shall Not Fear,President Thomas S. Monson,October 2004
Opening Remarks,President Gordon B. Hinckley,April 2005
The Book of Mormon: Another Testament of Jesus Christ—Plain and Precious Things,President Boyd K. Packer,April 2005
"A Still, Small Voice and a Throbbing Heart",Bishop Richard C. Edgley,April 2005
All Thy Children Shall Be Taught,Coleen K. Menlove,April 2005
Now Is the Time to Prepare,Elder Russell M. Nelson,April 2005
Constant Truths for Changing Times,President Thomas S. Monson,April 2005
The Sustaining of Church Officers,sented by President Thomas S. Monson,April 2005
"Church Auditing Department Report, 2004",sented by Robert W. Cantwell,April 2005
"Statistical Report, 2004",sented by F. Michael Watson,April 2005
The Virtue of Kindness,Elder Joseph B. Wirthlin,April 2005
